,date,open,close,low,high,volume,macd,macdsignal,macdhist,ma,MOM10,K10,D10,next_signal,y_pred,position,coin_number,principal,portfolio_value
100,2021-05-04 14:29:56,55858.84,56110.06,55858.84,56138.92,2.19,30.37412455847516,9.092110965921401,21.28201359255376,56002.223,63.720000000001164,90.43926735786071,78.87108897406158,-1,-1,0.0,0,1000000,1000000.0
101,2021-05-04 14:32:05,56077.54,56048.42,56047.2,56140.29,1.87,26.328843029557902,12.539457378648702,13.7893856509092,56002.583,3.599999999998545,88.72482352179247,86.57293745694751,-1,-1,0.0,0,1000000,1000000.0
102,2021-05-04 14:34:05,56085.92,55997.67,55997.67,56140.29,2.1,16.03427318111062,13.238420539141085,2.7958526419695353,55998.579999999994,-40.029999999998836,74.28587309601419,84.48332132522246,1,-1,0.0,0,1000000,1000000.0
103,2021-05-04 14:37:33,56089.85,56050.53,55997.67,56140.29,2.58,16.078026649360254,13.80634176118492,2.2716848881753346,56008.60299999999,100.22999999999593,66.252192516861,76.42096304488922,1,-1,0.0,0,1000000,1000000.0
104,2021-05-04 14:44:40,56092.74,56056.14,55997.67,56130.78,3.21,16.137524826903245,14.272578374328585,1.8649464525746602,56016.81999999999,82.16999999999825,62.511991472730365,67.68335236186851,-1,-1,0.0,0,1000000,1000000.0
105,2021-05-04 14:46:44,56045.92,56053.57,55976.79,56130.78,1.64,15.125242414345848,14.443111182332038,0.6821312320138109,56030.746,139.26000000000204,69.13246876295368,65.96555091751502,-1,-1,0.0,0,1000000,1000000.0
106,2021-05-04 14:48:46,56042.42,56016.57,55975.92,56130.78,1.75,8.969456674261892,13.348380280718008,-4.378923606456116,56046.51899999999,157.7300000000032,65.1104399834193,65.58496673970112,1,-1,0.0,0,1000000,1000000.0
107,2021-05-04 14:50:46,56047.83,56044.67,55975.92,56130.78,1.61,8.560159505010233,12.390736125576453,-3.8305766205662195,56056.76899999999,102.5,63.7519985787884,65.99830244172047,-1,-1,0.0,0,1000000,1000000.0
108,2021-05-04 14:53:09,56057.78,55954.9,55954.9,56130.78,1.44,-3.9012908502554637,9.13233073041007,-13.033621580665534,56044.50499999999,-122.63999999999942,52.06608633860403,60.309508300270586,1,-1,0.0,0,1000000,1000000.0
109,2021-05-04 14:56:04,56122.16,55982.67,55954.9,56122.16,1.3,-7.599473335292714,5.785969917269513,-13.385443252562228,56031.52,-129.84999999999854,48.051163616983736,54.623082844792066,1,-1,0.0,0,1000000,1000000.0
110,2021-05-04 14:58:21,56036.55,55994.42,55901.76,56063.52,1.28,-7.951145240083861,3.0385468857988385,-10.9896921258827,56019.95599999999,-115.63999999999942,38.99127348551252,46.3695078137001,1,1,0.0,0.8894604421496712,950000.0,999804.8215711144
111,2021-05-04 15:00:28,56045.37,56063.06,55901.76,56071.96,1.35,1.2372352675738512,2.678284562153841,-1.4410492945799898,56021.42,14.639999999999418,50.15531518998529,45.732584097493856,1,1,0.049841593681180525,1.7796495674029846,900000.0,999772.6004762875
112,2021-05-04 15:06:40,56014.55,56166.65,55901.76,56229.64,1.59,20.396487870333658,6.221925223789805,14.174562646543853,56038.31799999999,168.9800000000032,62.41916372573797,50.5219174670786,1,-1,0.09967431144110436,0.8888109252071866,950000.0,999921.5321522882
